clip_id,scenario_id,subject_id,filepath,orig_filename,duration_s,fps,resolution,frame_count,sha256,recorded_at,split_scenario,split_subject,split_random_leaky_DO_NOT_USE_FOR_EVAL
S01_F04_c001,S01_F04,P01,raw/clips/classroom/S01_F04/S01_F04_c001.mp4,S01_F04_c001.mp4,4.933,15,640x480,74,8e47169f2cec492fd7c69d33e4958dd15df02de2bcf5094e36d1f04c22e6c57f,,train,train,train
S01_F04_c002,S01_F04,P01,raw/clips/classroom/S01_F04/S01_F04_c002.mp4,S01_F04_c002.mp4,4.6,15,640x480,69,00923d337fe11ceb5d4c510f3218d29a692467e4e94f69ee8e5bbb722b9a4006,,train,train,test
S01_F04_c003,S01_F04,P02,raw/clips/classroom/S01_F04/S01_F04_c003.mp4,S01_F04_c003.mp4,4.533,15,640x480,68,7041d9b340b64c1cdb4b3eca24996187a6633daed682c062d0b1d5b8d55390b8,,train,train,train
S01_F04_c004,S01_F04,P02,raw/clips/classroom/S01_F04/S01_F04_c004.mp4,S01_F04_c004.mp4,4.067,15,640x480,61,005794b99cb608536909f8d626422fd8523a67e9ddab145b1571778f35723641,,train,train,train
S01_F04_c005,S01_F04,P06,raw/clips/classroom/S01_F04/S01_F04_c005.mp4,S01_F04_c005.mp4,4.8,15,640x480,72,cb3e28700e5851b417c130709b014a44ee4073c5da6d02ac9bbea3804544aa88,,train,train,val
S01_F04_c006,S01_F04,P06,raw/clips/classroom/S01_F04/S01_F04_c006.mp4,S01_F04_c006.mp4,4.867,15,640x480,73,30a27fc2e2aa55559bb7c5e6564ba8cdf9b820adae76210a2a51165c73668837,,train,train,train
S01_F04_c007,S01_F04,P04,raw/clips/classroom/S01_F04/S01_F04_c007.mp4,S01_F04_c007.mp4,5.4,15,640x480,81,86011040cbf075c19b5aff0972eae843c3e9dec9b7f9c7de2c57851492e83865,,train,val,test
S01_F04_c008,S01_F04,P04,raw/clips/classroom/S01_F04/S01_F04_c008.mp4,S01_F04_c008.mp4,5.4,15,640x480,81,8f84637c87341c35702a67220e03fa84e0a1c489d3071e783691d2d82f5a7b79,,train,val,train
S01_F04_c009,S01_F04,P04,raw/clips/classroom/S01_F04/S01_F04_c009.mp4,S01_F04_c009.mp4,5.067,15,640x480,76,f8af1480b88a4d878a57ac1ce4004640e7c45388d18b04e3653dfd4466f3947b,,train,val,val
S01_F04_c010,S01_F04,P04,raw/clips/classroom/S01_F04/S01_F04_c010.mp4,S01_F04_c010.mp4,5.533,15,640x480,83,62d43341e0a491c61ae54173e961b04d243eb7fa06b3bb6b51d4b62498bf5edb,,train,val,val
S01_F04_c011,S01_F04,P01,raw/clips/classroom/S01_F04/S01_F04_c011.mp4,S01_F04_c011.mp4,5.067,15,640x480,76,b8a3c3b73572a36423b2b5850cab94c6809a97f856f1b6b230516d276a98d155,,train,train,train
S01_F04_c012,S01_F04,P01,raw/clips/classroom/S01_F04/S01_F04_c012.mp4,S01_F04_c012.mp4,5.267,15,640x480,79,993658ea119d3f8c1de9db4c4dd519bb2f6d9e68fdb2c4c3ef1e3c65fec6ae31,,train,train,train
S01_F04_c013,S01_F04,P06,raw/clips/classroom/S01_F04/S01_F04_c013.mp4,S01_F04_c013.mp4,5.533,15,640x480,83,183ae8fa3969fe40be1c5ae7c185f214384968a75b19eaaf0604611247a4eff1,,train,train,train
S01_F04_c014,S01_F04,P06,raw/clips/classroom/S01_F04/S01_F04_c014.mp4,S01_F04_c014.mp4,6.067,15,640x480,91,08ddf59d6484fab28d7790863634f0eef670ed262bdf6ca01d55d11323edb744,,train,train,test
S01_F04_c015,S01_F04,P02,raw/clips/classroom/S01_F04/S01_F04_c015.mp4,S01_F04_c015.mp4,5.067,15,640x480,76,c9cac22e619a6df9c1b8eb5919d9a2f7f95d0574acf14a65159f708e7098c4e1,,train,train,test
S01_F04_c016,S01_F04,P02,raw/clips/classroom/S01_F04/S01_F04_c016.mp4,S01_F04_c016.mp4,6.667,15,640x480,100,dab9b2ec88d63c9b49306f0bb99e28933e6a539512c82ac7ee3e3d77d635a720,,train,train,train
S01_F04_c017,S01_F04,P02,raw/clips/classroom/S01_F04/S01_F04_c017.mp4,S01_F04_c017.mp4,5.733,15,640x480,86,52a7e3ff6f2b63c7ca899cbb5d6ed29858913d2449af25ddfb295332353d2517,,train,train,train
S01_F04_c018,S01_F04,P02,raw/clips/classroom/S01_F04/S01_F04_c018.mp4,S01_F04_c018.mp4,6.533,15,640x480,98,ae55bcd81eb9d87a89869627ee2b9e95f075346dce61fede215f3c10d8a8c66d,,train,train,train
S01_F04_c019,S01_F04,P06,raw/clips/classroom/S01_F04/S01_F04_c019.mp4,S01_F04_c019.mp4,6.267,15,640x480,94,c83b254d2c2da8a3d29f5b96e0c7c0c256884893826071163c3c6d0f53fd7a09,,train,train,train
S01_F04_c020,S01_F04,P06,raw/clips/classroom/S01_F04/S01_F04_c020.mp4,S01_F04_c020.mp4,6.467,15,640x480,97,7eacf1d03f6fceb4a0e25274debe38d0d6d240215961afaf4d989cf0e1393a15,,train,train,train
S01_F04_c021,S01_F04,P04,raw/clips/classroom/S01_F04/S01_F04_c021.mp4,S01_F04_c021.mp4,6.267,15,640x480,94,6217d89d78f74b44b384773e704c7aea77fd348d3a31477ba6bb1008d5238f66,,train,val,train
S01_F04_c022,S01_F04,P04,raw/clips/classroom/S01_F04/S01_F04_c022.mp4,S01_F04_c022.mp4,4.933,15,640x480,74,846e14f0e251583b3584edb7a67211a8dc0d466aef6d2c426a31d55d8293d023,,train,val,train
S01_F04_c023,S01_F04,P01,raw/clips/classroom/S01_F04/S01_F04_c023.mp4,S01_F04_c023.mp4,5.133,15,640x480,77,e2f4548de1a28f11d9afb8060fc13d156a18e31c8406517ace3fd104f7b9aa35,,train,train,train
S01_F04_c024,S01_F04,P01,raw/clips/classroom/S01_F04/S01_F04_c024.mp4,S01_F04_c024.mp4,5.067,15,640x480,76,a5ad6436c386cbe85b9ec3f8142c1ba4d3a016e7b45a31a890bda0d060bd1e15,,train,train,test
S01_F04_c025,S01_F04,P01,raw/clips/classroom/S01_F04/S01_F04_c025.mp4,S01_F04_c025.mp4,5.2,15,640x480,78,8c913f96796c2ac0e93890a940d69d5bfef322c6287c74d6ee96a2b0227e1b23,,train,train,train
S01_F04_c026,S01_F04,P01,raw/clips/classroom/S01_F04/S01_F04_c026.mp4,S01_F04_c026.mp4,5.2,15,640x480,78,f6525ceb4a498b41445680e40bab47e6072ad612008484380d457893351c9295,,train,train,train
S01_F04_c027,S01_F04,P02,raw/clips/classroom/S01_F04/S01_F04_c027.mp4,S01_F04_c027.mp4,5.067,15,640x480,76,d98cc606b536c6864398e7e2a584b2e10150c4e1fb5a335bcf5a5895ae454683,,train,train,train
S01_F04_c028,S01_F04,P02,raw/clips/classroom/S01_F04/S01_F04_c028.mp4,S01_F04_c028.mp4,4.933,15,640x480,74,9ad85cf291414561a495d2f8bf505c59b7a9d7f3cff4a75f0d08bcb623f706fd,,train,train,train
S01_F04_c029,S01_F04,P06,raw/clips/classroom/S01_F04/S01_F04_c029.mp4,S01_F04_c029.mp4,4.933,15,640x480,74,9402d6706b93a3411a16f2020562bfe2299f5c6960f86bcfd20f641b401bb482,,train,train,train
S01_F04_c030,S01_F04,P06,raw/clips/classroom/S01_F04/S01_F04_c030.mp4,S01_F04_c030.mp4,6,15,640x480,90,45dc0b25980f0c1e14f17b4b65715c6d078b259b8b5a2864d19c0e16667620d2,,train,train,train
S01_F04_c031,S01_F04,P04,raw/clips/classroom/S01_F04/S01_F04_c031.mp4,S01_F04_c031.mp4,6.333,15,640x480,95,528a26f5363e769e4de0de447b3907a1a984b5798f3e14d7f61e5acdb0c70b2a,,train,val,val
S01_F04_c032,S01_F04,P04,raw/clips/classroom/S01_F04/S01_F04_c032.mp4,S01_F04_c032.mp4,5.733,15,640x480,86,4ac3c1d424dc9f51feebd6562f8e845e9ee3ac652e27b3803e94385782bf795a,,train,val,train
S01_F04_c033,S01_F04,P04,raw/clips/classroom/S01_F04/S01_F04_c033.mp4,S01_F04_c033.mp4,5.533,15,640x480,83,b8095ca29c61e945eac9dccc9b734805d7655bf6323e4bde8517b329ece390e3,,train,val,train
S01_F04_c034,S01_F04,P04,raw/clips/classroom/S01_F04/S01_F04_c034.mp4,S01_F04_c034.mp4,5.133,15,640x480,77,8d8f01a95d37db0aec04e5d0462b14eedac914f3170541a1f56f347c1f2decf6,,train,val,train
S01_F04_c035,S01_F04,P02,raw/clips/classroom/S01_F04/S01_F04_c035.mp4,S01_F04_c035.mp4,6.133,15,640x480,92,299e190bcede424f26848e03ac34c4bdba47008081a4f9b484f82b8d42370fcc,,train,train,train
